a,x,P-value
92,458,6.631651400688762316e-20
123,418,3.218898221488369297e-03
28,172,6.081616607029661763e-09
123,418,3.218898221488369297e-03
28,172,6.081616607029661763e-09
42,174,1.113948781798570781e-03
0,90,3.639827999275103739e-18
123,418,3.218898221488369297e-03
28,172,6.081616607029661763e-09
35,160,1.760313383924970161e-04
7,46,3.911880520400921532e-03
35,160,1.760313383924970161e-04
7,46,3.911880520400921532e-03
0,15,1.984514649625877120e-03
123,418,3.218898221488369297e-03
28,172,6.081616607029661763e-09
35,160,1.760313383924970161e-04
7,46,3.911880520400921532e-03
35,160,1.760313383924970161e-04
7,46,3.911880520400921532e-03
0,15,1.984514649625877120e-03
42,174,1.113948781798570781e-03
0,90,3.639827999275103739e-18
0,15,1.984514649625877120e-03
0,15,1.984514649625877120e-03
153,378,2.791507546943605353e-03
34,160,8.232177300329708721e-05
0,15,1.984514649625877120e-03
0,78,8.913307283137047948e-16
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,15,1.984514649625877120e-03
0,12,1.079322727355374115e-02
153,378,2.791507546943605353e-03
34,160,8.232177300329708721e-05
0,15,1.984514649625877120e-03
0,78,8.913307283137047948e-16
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,15,1.984514649625877120e-03
0,12,1.079322727355374115e-02
61,111,3.816356946781725749e-06
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
12,19,1.301983183450050943e-02
153,378,2.791507546943605353e-03
34,160,8.232177300329708721e-05
0,15,1.984514649625877120e-03
0,78,8.913307283137047948e-16
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,15,1.984514649625877120e-03
0,12,1.079322727355374115e-02
0,78,8.913307283137047948e-16
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
61,111,3.816356946781725749e-06
12,19,1.301983183450050943e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
20,34,5.033514991783499294e-03
0,12,1.079322727355374115e-02
153,378,2.791507546943605353e-03
34,160,8.232177300329708721e-05
0,15,1.984514649625877120e-03
0,78,8.913307283137047948e-16
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,15,1.984514649625877120e-03
0,12,1.079322727355374115e-02
61,111,3.816356946781725749e-06
12,19,1.301983183450050943e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,78,8.913307283137047948e-16
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
20,34,5.033514991783499294e-03
0,12,1.079322727355374115e-02
61,111,3.816356946781725749e-06
12,19,1.301983183450050943e-02
0,12,1.079322727355374115e-02
0,12,1.079322727355374115e-02
20,34,5.033514991783499294e-03
0,12,1.079322727355374115e-02
20,34,5.033514991783499294e-03
0,12,1.079322727355374115e-02
192,340,2.465865666250682767e-25
81,168,7.814571870624191800e-05
81,168,7.814571870624191800e-05
42,68,2.397401763488634941e-06
81,168,7.814571870624191800e-05
81,168,7.814571870624191800e-05
42,68,2.397401763488634941e-06
94,155,7.227861881812265658e-13
34,57,8.078023490968805147e-05
13,21,1.059104550647511564e-02
0,38,7.861801633342509786e-08
34,57,8.078023490968805147e-05
13,21,1.059104550647511564e-02
94,155,7.227861881812265658e-13
34,57,8.078023490968805147e-05
13,21,1.059104550647511564e-02
0,38,7.861801633342509786e-08
34,57,8.078023490968805147e-05
13,21,1.059104550647511564e-02
39,58,2.314749250808241939e-07
10,14,7.720388697829726199e-03
94,155,7.227861881812265658e-13
34,57,8.078023490968805147e-05
13,21,1.059104550647511564e-02
34,57,8.078023490968805147e-05
0,38,7.861801633342509786e-08
13,21,1.059104550647511564e-02
52,66,3.348520988812209499e-14
15,22,2.218023514126027732e-03
15,22,2.218023514126027732e-03
15,22,2.218023514126027732e-03
15,22,2.218023514126027732e-03
39,58,2.314749250808241939e-07
10,14,7.720388697829726199e-03
17,19,9.124779981764558815e-07
94,155,7.227861881812265658e-13
34,57,8.078023490968805147e-05
13,21,1.059104550647511564e-02
34,57,8.078023490968805147e-05
0,38,7.861801633342509786e-08
13,21,1.059104550647511564e-02
39,58,2.314749250808241939e-07
10,14,7.720388697829726199e-03
52,66,3.348520988812209499e-14
15,22,2.218023514126027732e-03
15,22,2.218023514126027732e-03
15,22,2.218023514126027732e-03
15,22,2.218023514126027732e-03
17,19,9.124779981764558815e-07
39,58,2.314749250808241939e-07
10,14,7.720388697829726199e-03
17,19,9.124779981764558815e-07
17,19,9.124779981764558815e-07
146,335,2.589301233889060831e-05
50,178,4.470248100277061931e-02
16,80,4.470374546565867267e-03
16,80,4.470374546565867267e-03
0,45,4.418489810956446496e-09
16,70,3.629000569489287953e-02
16,70,3.629000569489287953e-02
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
3,22,4.059051325337519056e-02
37,60,1.610830887899695335e-05
0,10,1.814995816779501128e-02
23,47,4.093540033616584195e-02
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
37,60,1.610830887899695335e-05
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
23,47,4.093540033616584195e-02
28,48,8.686061060819055867e-04
12,15,3.902496178111390093e-04
12,15,3.902496178111390093e-04
82,177,4.433343822838018171e-04
32,63,8.704388971062381949e-03
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
0,38,7.861801633342509786e-08
15,22,2.218023514126027732e-03
35,59,9.878979841126191456e-05
14,22,5.755128734441839790e-03
9,14,2.441039102809830844e-02
82,177,4.433343822838018171e-04
32,63,8.704388971062381949e-03
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
35,59,9.878979841126191456e-05
9,14,2.441039102809830844e-02
14,22,5.755128734441839790e-03
0,38,7.861801633342509786e-08
15,22,2.218023514126027732e-03
43,70,2.846417503652825698e-06
12,21,3.637097732653194609e-02
12,21,3.637097732653194609e-02
14,22,5.755128734441839790e-03
14,22,5.755128734441839790e-03
70,103,3.201419336542590065e-13
39,60,9.070768171155106652e-07
39,60,9.070768171155106652e-07
21,30,1.051565610645207921e-04
43,53,1.175952352756994391e-12
20,26,9.965508490169030308e-06
23,28,2.274175381200667319e-07
10,11,1.736861453134914274e-04
43,53,1.175952352756994391e-12
23,28,2.274175381200667319e-07
20,26,9.965508490169030308e-06
10,11,1.736861453134914274e-04
22,24,6.047497419905050147e-09
9,10,4.655647268776901080e-04
9,10,4.655647268776901080e-04
42,63,1.410029731097234205e-07
18,35,4.518236595012221218e-02
21,30,1.051565610645207921e-04
0,17,1.141226761760078369e-03
25,30,3.599918816209931959e-08
12,12,2.630033763947266159e-06
22,28,1.797639587664199489e-06
8,10,4.308632717471823879e-03
10,11,1.736861453134914274e-04
42,63,1.410029731097234205e-07
21,30,1.051565610645207921e-04
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
22,28,1.797639587664199489e-06
8,10,4.308632717471823879e-03
25,30,3.599918816209931959e-08
12,12,2.630033763947266159e-06
10,11,1.736861453134914274e-04
23,32,1.505053769723827629e-05
11,12,6.417773979127166432e-05
11,12,6.417773979127166432e-05
146,335,2.589301233889060831e-05
50,178,4.470248100277061931e-02
16,80,4.470374546565867267e-03
16,80,4.470374546565867267e-03
0,45,4.418489810956446496e-09
16,70,3.629000569489287953e-02
16,70,3.629000569489287953e-02
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
82,177,4.433343822838018171e-04
32,63,8.704388971062381949e-03
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
82,177,4.433343822838018171e-04
32,63,8.704388971062381949e-03
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
43,70,2.846417503652825698e-06
12,21,3.637097732653194609e-02
12,21,3.637097732653194609e-02
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
37,60,1.610830887899695335e-05
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
23,47,4.093540033616584195e-02
0,38,7.861801633342509786e-08
15,22,2.218023514126027732e-03
35,59,9.878979841126191456e-05
14,22,5.755128734441839790e-03
9,14,2.441039102809830844e-02
14,22,5.755128734441839790e-03
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
3,22,4.059051325337519056e-02
37,60,1.610830887899695335e-05
0,10,1.814995816779501128e-02
23,47,4.093540033616584195e-02
35,59,9.878979841126191456e-05
9,14,2.441039102809830844e-02
14,22,5.755128734441839790e-03
0,38,7.861801633342509786e-08
15,22,2.218023514126027732e-03
14,22,5.755128734441839790e-03
28,48,8.686061060819055867e-04
12,15,3.902496178111390093e-04
12,15,3.902496178111390093e-04
70,103,3.201419336542590065e-13
39,60,9.070768171155106652e-07
39,60,9.070768171155106652e-07
21,30,1.051565610645207921e-04
42,63,1.410029731097234205e-07
21,30,1.051565610645207921e-04
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
42,63,1.410029731097234205e-07
18,35,4.518236595012221218e-02
21,30,1.051565610645207921e-04
0,17,1.141226761760078369e-03
23,32,1.505053769723827629e-05
43,53,1.175952352756994391e-12
23,28,2.274175381200667319e-07
20,26,9.965508490169030308e-06
10,11,1.736861453134914274e-04
25,30,3.599918816209931959e-08
12,12,2.630033763947266159e-06
22,28,1.797639587664199489e-06
8,10,4.308632717471823879e-03
11,12,6.417773979127166432e-05
43,53,1.175952352756994391e-12
20,26,9.965508490169030308e-06
23,28,2.274175381200667319e-07
10,11,1.736861453134914274e-04
22,28,1.797639587664199489e-06
8,10,4.308632717471823879e-03
25,30,3.599918816209931959e-08
12,12,2.630033763947266159e-06
11,12,6.417773979127166432e-05
22,24,6.047497419905050147e-09
9,10,4.655647268776901080e-04
9,10,4.655647268776901080e-04
10,11,1.736861453134914274e-04
10,11,1.736861453134914274e-04
62,112,2.398917890718127145e-06
8,58,3.256211102874137010e-04
36,63,1.787854370155055332e-04
4,31,1.126914886973268831e-02
36,63,1.787854370155055332e-04
4,31,1.126914886973268831e-02
0,19,3.664812809498033423e-04
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
18,29,2.528915386401238766e-03
21,31,1.653611292938526607e-04
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
21,31,1.653611292938526607e-04
18,29,2.528915386401238766e-03
20,30,3.237484763477014682e-04
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
21,31,1.653611292938526607e-04
18,29,2.528915386401238766e-03
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
20,30,3.237484763477014682e-04
11,12,6.417773979127166432e-05
7,10,3.782646627961866459e-02
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
18,29,2.528915386401238766e-03
21,31,1.653611292938526607e-04
20,30,3.237484763477014682e-04
7,10,3.782646627961866459e-02
11,12,6.417773979127166432e-05
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
20,30,3.237484763477014682e-04
9,11,1.779018343913564126e-03
9,11,1.779018343913564126e-03
50,50,7.331205837871162262e-25
30,30,6.393791162251981634e-15
30,30,6.393791162251981634e-15
16,16,3.400805039812960439e-08
30,30,6.393791162251981634e-15
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
30,30,6.393791162251981634e-15
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
30,30,6.393791162251981634e-15
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
30,30,6.393791162251981634e-15
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
16,16,3.400805039812960439e-08
146,335,2.589301233889060831e-05
50,178,4.470248100277061931e-02
16,80,4.470374546565867267e-03
16,70,3.629000569489287953e-02
16,80,4.470374546565867267e-03
16,70,3.629000569489287953e-02
0,45,4.418489810956446496e-09
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
82,177,4.433343822838018171e-04
0,38,7.861801633342509786e-08
32,63,8.704388971062381949e-03
0,10,1.814995816779501128e-02
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
23,47,4.093540033616584195e-02
37,60,1.610830887899695335e-05
3,22,4.059051325337519056e-02
0,10,1.814995816779501128e-02
35,59,9.878979841126191456e-05
14,22,5.755128734441839790e-03
9,14,2.441039102809830844e-02
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
23,47,4.093540033616584195e-02
3,22,4.059051325337519056e-02
37,60,1.610830887899695335e-05
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
15,22,2.218023514126027732e-03
28,48,8.686061060819055867e-04
12,15,3.902496178111390093e-04
12,15,3.902496178111390093e-04
82,177,4.433343822838018171e-04
32,63,8.704388971062381949e-03
0,38,7.861801633342509786e-08
0,10,1.814995816779501128e-02
43,70,2.846417503652825698e-06
12,21,3.637097732653194609e-02
12,21,3.637097732653194609e-02
0,38,7.861801633342509786e-08
15,22,2.218023514126027732e-03
14,22,5.755128734441839790e-03
35,59,9.878979841126191456e-05
9,14,2.441039102809830844e-02
14,22,5.755128734441839790e-03
14,22,5.755128734441839790e-03
70,103,3.201419336542590065e-13
39,60,9.070768171155106652e-07
39,60,9.070768171155106652e-07
21,30,1.051565610645207921e-04
42,63,1.410029731097234205e-07
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
21,30,1.051565610645207921e-04
43,53,1.175952352756994391e-12
23,28,2.274175381200667319e-07
20,26,9.965508490169030308e-06
10,11,1.736861453134914274e-04
22,28,1.797639587664199489e-06
8,10,4.308632717471823879e-03
43,53,1.175952352756994391e-12
20,26,9.965508490169030308e-06
23,28,2.274175381200667319e-07
10,11,1.736861453134914274e-04
25,30,3.599918816209931959e-08
12,12,2.630033763947266159e-06
22,24,6.047497419905050147e-09
9,10,4.655647268776901080e-04
9,10,4.655647268776901080e-04
10,11,1.736861453134914274e-04
42,63,1.410029731097234205e-07
21,30,1.051565610645207921e-04
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
23,32,1.505053769723827629e-05
25,30,3.599918816209931959e-08
12,12,2.630033763947266159e-06
11,12,6.417773979127166432e-05
22,28,1.797639587664199489e-06
8,10,4.308632717471823879e-03
11,12,6.417773979127166432e-05
10,11,1.736861453134914274e-04
55,96,2.387904004942954512e-06
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
7,10,3.782646627961866459e-02
34,54,1.356561692593035776e-05
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
4,26,3.729602315477649477e-02
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
7,10,3.782646627961866459e-02
16,29,2.749255499421158350e-02
0,13,5.956893805859387464e-03
8,11,2.004821247877851959e-02
8,11,2.004821247877851959e-02
33,64,4.178977008127553704e-03
0,13,5.956893805859387464e-03
20,30,3.237484763477014682e-04
9,12,4.952388856881766339e-03
0,17,1.141226761760078369e-03
20,30,3.237484763477014682e-04
9,12,4.952388856881766339e-03
9,12,4.952388856881766339e-03
14,19,8.118804148824849878e-04
12,14,1.132962130275201243e-04
9,12,4.952388856881766339e-03
12,14,1.132962130275201243e-04
10,10,2.284329436145178670e-05
10,15,1.256619413833789424e-02
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
55,96,2.387904004942954512e-06
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
31,51,1.122655100186235085e-04
16,26,5.627707425015711015e-03
7,10,3.782646627961866459e-02
33,64,4.178977008127553704e-03
0,13,5.956893805859387464e-03
34,54,1.356561692593035776e-05
17,24,3.091081751607770460e-04
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
7,10,3.782646627961866459e-02
20,30,3.237484763477014682e-04
9,12,4.952388856881766339e-03
4,26,3.729602315477649477e-02
0,17,1.141226761760078369e-03
34,54,1.356561692593035776e-05
20,26,9.965508490169030308e-06
8,11,2.004821247877851959e-02
17,24,3.091081751607770460e-04
7,10,3.782646627961866459e-02
20,30,3.237484763477014682e-04
9,12,4.952388856881766339e-03
16,29,2.749255499421158350e-02
0,13,5.956893805859387464e-03
8,11,2.004821247877851959e-02
8,11,2.004821247877851959e-02
9,12,4.952388856881766339e-03
14,19,8.118804148824849878e-04
10,15,1.256619413833789424e-02
12,14,1.132962130275201243e-04
8,10,4.308632717471823879e-03
9,12,4.952388856881766339e-03
12,14,1.132962130275201243e-04
8,10,4.308632717471823879e-03
10,10,2.284329436145178670e-05
10,14,7.720388697829726199e-03
8,10,4.308632717471823879e-03
8,10,4.308632717471823879e-03
7,10,3.782646627961866459e-02
146,335,2.589301233889060831e-05
50,178,4.470248100277061931e-02
62,112,2.398917890718127145e-06
8,58,3.256211102874137010e-04
16,80,4.470374546565867267e-03
16,70,3.629000569489287953e-02
36,63,1.787854370155055332e-04
4,31,1.126914886973268831e-02
16,80,4.470374546565867267e-03
16,70,3.629000569489287953e-02
36,63,1.787854370155055332e-04
4,31,1.126914886973268831e-02
0,45,4.418489810956446496e-09
3,28,7.498802121604856985e-03
0,10,1.814995816779501128e-02
0,19,3.664812809498033423e-04
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
23,47,4.093540033616584195e-02
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
37,60,1.610830887899695335e-05
21,31,1.653611292938526607e-04
3,22,4.059051325337519056e-02
18,29,2.528915386401238766e-03
0,10,1.814995816779501128e-02
82,177,4.433343822838018171e-04
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
0,38,7.861801633342509786e-08
21,31,1.653611292938526607e-04
32,63,8.704388971062381949e-03
18,29,2.528915386401238766e-03
0,10,1.814995816779501128e-02
35,59,9.878979841126191456e-05
20,30,3.237484763477014682e-04
14,22,5.755128734441839790e-03
11,12,6.417773979127166432e-05
9,14,2.441039102809830844e-02
7,10,3.782646627961866459e-02
82,177,4.433343822838018171e-04
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
32,63,8.704388971062381949e-03
18,29,2.528915386401238766e-03
0,38,7.861801633342509786e-08
21,31,1.653611292938526607e-04
0,10,1.814995816779501128e-02
0,38,7.861801633342509786e-08
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
15,22,2.218023514126027732e-03
43,70,2.846417503652825698e-06
20,30,3.237484763477014682e-04
12,21,3.637097732653194609e-02
9,11,1.779018343913564126e-03
12,21,3.637097732653194609e-02
9,11,1.779018343913564126e-03
14,22,5.755128734441839790e-03
69,139,1.031676457510769971e-04
15,70,1.827854422523929323e-02
23,47,4.093540033616584195e-02
37,63,5.719045152244953562e-05
4,30,1.105820060581923919e-02
3,22,4.059051325337519056e-02
18,29,2.528915386401238766e-03
37,60,1.610830887899695335e-05
21,31,1.653611292938526607e-04
0,10,1.814995816779501128e-02
28,48,8.686061060819055867e-04
20,30,3.237484763477014682e-04
12,15,3.902496178111390093e-04
9,11,1.779018343913564126e-03
12,15,3.902496178111390093e-04
9,11,1.779018343913564126e-03
0,38,7.861801633342509786e-08
18,35,4.518236595012221218e-02
0,17,1.141226761760078369e-03
15,22,2.218023514126027732e-03
35,59,9.878979841126191456e-05
20,30,3.237484763477014682e-04
9,14,2.441039102809830844e-02
7,10,3.782646627961866459e-02
14,22,5.755128734441839790e-03
11,12,6.417773979127166432e-05
14,22,5.755128734441839790e-03
70,103,3.201419336542590065e-13
50,50,7.331205837871162262e-25
39,60,9.070768171155106652e-07
30,30,6.393791162251981634e-15
39,60,9.070768171155106652e-07
30,30,6.393791162251981634e-15
21,30,1.051565610645207921e-04
16,16,3.400805039812960439e-08
43,53,1.175952352756994391e-12
30,30,6.393791162251981634e-15
23,28,2.274175381200667319e-07
16,16,3.400805039812960439e-08
20,26,9.965508490169030308e-06
16,16,3.400805039812960439e-08
10,11,1.736861453134914274e-04
42,63,1.410029731097234205e-07
30,30,6.393791162251981634e-15
18,35,4.518236595012221218e-02
